4671
276	35	3	5	0	0
277	46	4	6	0	0
278	45	4	5	0	0
279	4	4	0	0	0
280	4	4	0	0	0
281	6	6	0	0	0
282	5	5	0	0	0
283	36	6	3	0	0
284	45	5	4	0	0
285	46	6	4	0	0
286	35	3	5	0	0
287	4	4	0	0	0
288	4	4	0	0	0
289	36	6	3	0	0
290	5	5	0	0	0
291	6	6	0	0	0
292	35	5	3	0	0
293	46	4	6	0	0
294	45	5	4	0	0
295	4	4	0	0	0
296	6	6	0	0	0
297	36	6	3	0	0
298	45	5	4	0	0
299	46	4	6	0	0
300	35	3	5	0	0
301	36	6	3	0	0
302	35	3	5	0	0
303	46	4	6	0	0
304	45	5	4	0	0
305	6	6	0	0	0
306	3	3	0	0	0
307	36	6	3	0	0
308	45	5	4	0	0
309	46	6	4	0	0
310	35	3	5	0	0
311	36	6	3	0	0
312	35	3	5	0	0
313	46	4	6	0	0
314	45	4	5	0	0
315	36	6	3	0	0
316	45	5	4	0	0
317	46	6	4	0	0
318	35	3	5	0	0
319	36	3	6	0	0
320	35	3	5	0	0
321	46	4	6	0	0
322	45	5	4	0	0
323	5	5	0	0	0
324	3	3	0	0	0
325	36	3	6	0	0
326	45	5	4	0	0
327	46	4	6	0	0
328	35	3	5	0	0
330	36	6	3	0	0
331	15	5	1	0	0
332	13	3	1	0	0
333	13	3	1	0	0
334	46	4	6	0	0
335	45	5	4	0	0
336	3	3	0	0	0
337	6	6	0	0	0
338	5	5	0	0	0
339	4	4	0	0	0
340	13	1	3	0	0
341	15	5	1	0	0
342	6	6	0	0	0
343	4	4	0	0	0
344	36	6	3	0	0
346	45	4	5	0	0
347	46	6	4	0	0
348	15	5	1	0	0
349	5	5	0	0	0
350	3	3	0	0	0
351	1	1	0	0	0
352	13	1	3	0	0
353	1	1	0	0	0
356	16	1	6	0	0
357	13	3	1	0	0
358	13	3	1	0	0
359	15	1	5	0	0
360	14	1	4	0	0
361	14	4	1	0	0
362	16	6	1	0	0
363	14	1	4	0	0
364	14	1	4	0	0
365	15	5	1	0	0
366	13	1	3	0	0
367	3	3	0	0	0
368	13	3	1	0	0
369	1	1	0	0	0
370	3	3	0	0	0
371	5	5	0	0	0
372	15	5	1	0	0
373	1	1	0	0	0
374	1	1	0	0	0
375	13	3	1	0	0
376	15	5	1	0	0
377	13	3	1	0	0
378	16	6	1	0	0
379	16	1	6	0	0
380	16	6	1	0	0
381	15	1	5	0	0
382	1	1	0	0	0
383	4	4	0	0	0
384	1	1	0	0	0
385	4	4	0	0	0
386	1	1	0	0	0
387	14	1	4	0	0
388	16	6	1	0	0
389	14	4	1	0	0
390	15	1	5	0	0
391	16	1	6	0	0
392	14	4	1	0	0
393	15	1	5	0	0
394	1	1	0	0	0
395	6	6	0	0	0
396	4	4	0	0	0
397	14	1	4	0	0
398	14	4	1	0	0
399	14	4	1	0	0
400	16	1	6	0	0
401	16	6	1	0	0
402	16	6	1	0	0
403	1	1	0	0	0
404	1	1	0	0	0
405	1	1	0	0	0
406	1	1	0	0	0
407	1	1	0	0	0
408	1	1	0	0	0
410	1	1	0	0	0
412	1	1	0	0	0
413	1	1	0	0	0
414	1	1	0	0	0
415	5	5	0	0	0
418	3	3	0	0	0
421	5	5	0	0	0
422	1	1	0	0	0
424	3	3	0	0	0
426	1	1	0	0	0
428	1	1	0	0	0
430	5	5	0	0	0
431	1	1	0	0	0
433	1	1	0	0	0
434	3	3	0	0	0
436	1	1	0	0	0
439	6	6	0	0	0
441	6	6	0	0	0
442	3	3	0	0	0
445	1	1	0	0	0
447	1	1	0	0	0
448	1	1	0	0	0
449	6	6	0	0	0
451	1	1	0	0	0
453	6	6	0	0	0
454	1	1	0	0	0
458	4	4	0	0	0
460	1	1	0	0	0
463	6	6	0	0	0
465	1	1	0	0	0
466	1	1	0	0	0
467	1	1	0	0	0
468	1	1	0	0	0
469	1	1	0	0	0
470	1	1	0	0	0
471	1	1	0	0	0
472	5	5	0	0	0
473	1	1	0	0	0
476	4	4	0	0	0
478	1	1	0	0	0
480	5	5	0	0	0
484	1	1	0	0	0
485	1	1	0	0	0
486	1	1	0	0	0
487	1	1	0	0	0
489	4	4	0	0	0
491	1	1	0	0	0
492	1	1	0	0	0
496	4	4	0	0	0
499	1	1	0	0	0
500	1	1	0	0	0
